Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time
234,23.4,32.1,10.5,1.0,1.0,1.0,2,0,0.6580352783203125
235,24.0,32.4,0.0,4.0,0.0,1.0,2,0,0.6093978881835938
236,23.2,32.7,0.4,1.0,1.0,1.0,2,0,0.6139278411865234
237,23.4,32.7,0.5,1.0,1.0,1.0,2,0,0.5900859832763672
238,24.2,32.0,0.0,4.0,0.0,1.0,2,0,0.6721019744873047
239,22.2,32.2,22.1,3.0,2.0,1.0,2,0,0.6220340728759766
240,22.4,32.9,0.0,4.0,0.0,1.0,2,0,0.5679130554199219
241,24.4,32.4,0.2,1.0,1.0,1.0,2,0,0.5486011505126953
242,24.0,33.1,0.0,4.0,0.0,4.0,2,0,0.5714893341064453
243,23.8,34.0,0.0,4.0,0.0,4.0,2,0,0.5767345428466797
244,24.0,33.6,0.0,4.0,0.0,4.0,0,0,0.5724430084228516
245,24.6,32.5,0.0,4.0,0.0,4.0,0,0,0.6628036499023438
246,24.0,33.0,0.0,4.0,0.0,1.0,2,0,0.614166259765625
247,23.0,33.0,0.0,4.0,0.0,1.0,2,0,0.5757808685302734
248,22.8,33.2,0.0,4.0,0.0,1.0,2,0,0.5764961242675781
249,23.2,33.4,0.0,4.0,0.0,4.0,2,0,0.6103515625
250,22.8,34.4,0.0,4.0,0.0,4.0,0,0,0.7688999176025391
251,24.2,33.8,0.0,4.0,0.0,5.0,2,0,0.6227493286132812
252,23.6,33.0,0.0,4.0,0.0,1.0,2,0,0.598907470703125
253,23.8,33.6,0.0,4.0,0.0,4.0,0,0,0.5781650543212891
254,24.8,32.6,0.0,4.0,0.0,4.0,2,0,0.6120204925537109
255,23.7,33.0,0.0,4.0,0.0,4.0,2,0,0.5877017974853516
256,24.0,31.0,0.0,4.0,0.0,1.0,2,0,0.6098747253417969
257,23.4,33.2,0.9,1.0,1.0,1.0,2,0,0.6129741668701172
258,23.6,34.4,1.2,1.0,1.0,1.0,2,0,0.5934238433837891
259,24.2,32.8,0.5,1.0,1.0,1.0,2,0,0.591278076171875
260,23.0,33.4,0.0,4.0,0.0,1.0,2,0,0.5881786346435547
261,23.4,33.1,0.0,4.0,0.0,0.0,2,0,0.6573200225830078
262,24.0,34.0,0.0,4.0,0.0,4.0,2,0,0.6239414215087891
263,23.6,33.2,0.0,4.0,0.0,4.0,2,0,0.6926059722900391
264,23.0,34.4,0.0,4.0,0.0,4.0,2,0,0.6053447723388672
265,23.0,31.8,0.0,4.0,0.0,1.0,2,0,0.5681514739990234
266,24.2,34.4,0.6,1.0,1.0,1.0,0,0,0.5505084991455078
267,24.6,32.8,0.0,4.0,0.0,4.0,2,0,0.652313232421875
268,23.4,33.8,0.0,4.0,0.0,4.0,2,0,0.5817413330078125
269,23.8,34.0,0.0,4.0,0.0,4.0,0,0,0.5810260772705078
270,21.6,33.4,0.0,4.0,0.0,4.0,2,0,0.5526542663574219
271,22.0,32.8,0.0,4.0,0.0,4.0,2,0,0.5979537963867188
272,23.6,32.6,0.0,4.0,0.0,4.0,2,0,0.7126331329345703
273,20.8,33.6,0.0,4.0,0.0,4.0,2,0,0.6089210510253906
274,21.0,33.8,0.0,4.0,0.0,1.0,2,0,0.5791187286376953
275,23.0,33.6,0.0,4.0,0.0,1.0,2,0,0.6589889526367188
276,22.4,33.4,0.0,4.0,0.0,1.0,2,0,0.6291866302490234
277,22.8,34.1,0.0,4.0,0.0,4.0,2,0,0.6136894226074219
278,23.4,34.2,0.0,4.0,0.0,4.0,0,0,0.5645751953125
279,23.0,33.4,0.0,4.0,0.0,1.0,2,0,0.6058216094970703
280,22.6,34.8,0.0,4.0,0.0,1.0,2,0,0.5905628204345703
281,23.0,33.4,0.0,4.0,0.0,2.0,2,0,0.5435943603515625
282,24.0,34.5,0.0,4.0,0.0,1.0,0,0,0.5424022674560547
283,23.6,34.4,0.0,4.0,0.0,4.0,0,0,0.6473064422607422
284,23.8,33.4,0.0,4.0,0.0,4.0,2,0,0.6167888641357422
285,21.0,33.8,0.0,4.0,0.0,4.0,2,0,0.5955696105957031
286,20.2,32.9,0.0,4.0,0.0,1.0,2,0,0.5970001220703125
287,23.0,33.8,0.0,4.0,0.0,4.0,2,0,0.5748271942138672
288,23.2,33.6,0.0,4.0,0.0,5.0,0,0,0.6818771362304688
289,23.4,34.4,0.0,4.0,0.0,5.0,0,0,0.6096363067626953
290,23.8,35.4,0.0,4.0,0.0,1.0,0,0,0.6084442138671875
291,22.2,34.0,0.0,4.0,0.0,4.0,2,0,0.6132125854492188
292,22.8,34.8,0.0,4.0,0.0,4.0,2,0,0.58746337890625
293,23.8,34.6,0.0,4.0,0.0,4.0,0,0,0.5865097045898438
294,23.8,33.8,0.0,4.0,0.0,1.0,2,0,0.6556510925292969
295,22.2,34.1,0.0,4.0,0.0,4.0,2,0,0.6058216094970703
296,24.0,34.8,0.0,4.0,0.0,0.0,2,0,0.5922317504882812
297,24.1,34.2,0.0,4.0,0.0,0.0,0,0,0.5915164947509766
298,24.4,34.7,0.0,4.0,0.0,0.0,0,0,0.6811618804931641
299,23.0,34.0,20.0,3.0,2.0,1.0,2,0,0.6055831909179688
300,23.2,33.6,0.0,4.0,0.0,4.0,2,0,0.5862712860107422
301,22.7,33.9,0.0,4.0,0.0,1.0,2,0,0.6520748138427734
302,21.4,34.4,0.0,4.0,0.0,0.0,2,0,0.6277561187744141
303,22.3,34.0,0.0,4.0,0.0,4.0,0,0,0.5929470062255859
304,23.4,35.2,0.0,4.0,0.0,4.0,0,0,0.5872249603271484
305,24.0,35.0,0.0,4.0,0.0,1.0,0,0,0.6501674652099609
306,25.0,34.6,0.0,4.0,0.0,0.0,0,0,0.5698204040527344
307,23.6,34.4,0.0,4.0,0.0,1.0,2,0,0.6062984466552734
308,24.4,35.0,0.0,4.0,0.0,4.0,0,0,0.5869865417480469
309,23.8,36.4,0.0,4.0,0.0,1.0,0,0,0.5743503570556641
310,24.8,35.4,0.0,4.0,0.0,4.0,0,0,0.6568431854248047
311,24.1,35.4,0.0,4.0,0.0,4.0,0,0,0.6248950958251953
312,24.4,34.6,0.0,4.0,0.0,4.0,0,0,0.55694580078125
313,23.2,36.0,0.0,4.0,0.0,1.0,0,0,0.6344318389892578
314,25.0,35.4,0.0,4.0,0.0,4.0,0,0,0.6215572357177734
315,24.8,36.2,0.0,4.0,0.0,4.0,0,0,0.6039142608642578
316,25.4,36.0,0.0,4.0,0.0,4.0,0,0,0.6129741668701172
317,26.4,37.5,0.0,4.0,0.0,1.0,0,0,0.6630420684814453
318,24.8,36.4,0.0,4.0,0.0,0.0,0,0,0.5819797515869141
319,23.2,35.3,0.0,4.0,0.0,4.0,0,0,0.6046295166015625
