Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time,Arduino Prediction,Arduino Execution Time
217,24.4,34.4,0.0,4.0,0.0,1.0,2,0,0.0001571178436279297,0,0.035419
218,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.00015807151794433594,0,0.035418
219,23.2,34.2,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.035385
220,23.4,32.5,24.6,3.0,2.0,1.0,2,0,0.00015616416931152344,0,0.035594
221,22.8,33.3,0.0,4.0,0.0,1.0,2,0,0.000164031982421875,0,0.035396
222,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.00015997886657714844,0,0.035398
223,23.8,33.4,0.0,4.0,0.0,1.0,0,0,0.00015616416931152344,0,0.035411
224,23.1,33.1,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.03542
225,23.4,33.4,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.03541
226,23.8,32.6,0.0,4.0,0.0,1.0,2,0,0.0001552104949951172,0,0.035471
227,23.8,33.3,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.035416
228,24.0,31.4,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035417
229,23.4,32.9,1.0,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035505
230,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035398
231,23.2,32.9,0.0,4.0,0.0,4.0,2,0,0.00015401840209960938,0,0.03535
232,23.6,33.0,0.0,4.0,0.0,1.0,2,0,0.00015616416931152344,0,0.035426
233,23.6,30.0,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.035421
234,23.4,32.1,10.5,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.03561
235,24.0,32.4,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035461
236,23.2,32.7,0.4,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035565
237,23.4,32.7,0.5,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035559
238,24.2,32.0,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035503
239,22.2,32.2,22.1,3.0,2.0,1.0,2,0,0.0001537799835205078,0,0.035528
240,22.4,32.9,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035379
241,24.4,32.4,0.2,1.0,1.0,1.0,2,0,0.00015735626220703125,0,0.035617
242,24.0,33.1,0.0,4.0,0.0,4.0,2,0,0.00015401840209960938,0,0.035368
243,23.8,34.0,0.0,4.0,0.0,4.0,2,0,0.00015401840209960938,0,0.035359
244,24.0,33.6,0.0,4.0,0.0,4.0,0,0,0.00015687942504882812,0,0.035357
245,24.6,32.5,0.0,4.0,0.0,4.0,0,0,0.00015997886657714844,0,0.03542
246,24.0,33.0,0.0,4.0,0.0,1.0,2,0,0.00016880035400390625,0,0.035421
247,23.0,33.0,0.0,4.0,0.0,1.0,2,0,0.00015878677368164062,0,0.035376
248,22.8,33.2,0.0,4.0,0.0,1.0,2,0,0.00016117095947265625,0,0.035395
249,23.2,33.4,0.0,4.0,0.0,4.0,2,0,0.00015783309936523438,0,0.035356
250,22.8,34.4,0.0,4.0,0.0,4.0,0,0,0.0001590251922607422,0,0.035328
251,24.2,33.8,0.0,4.0,0.0,5.0,2,0,0.00015807151794433594,0,0.035355
252,23.6,33.0,0.0,4.0,0.0,1.0,2,0,0.00015497207641601562,0,0.035426
253,23.8,33.6,0.0,4.0,0.0,4.0,0,0,0.0001590251922607422,0,0.03535
254,24.8,32.6,0.0,4.0,0.0,4.0,2,0,0.00015306472778320312,0,0.035411
255,23.7,33.0,0.0,4.0,0.0,4.0,2,0,0.00015401840209960938,0,0.035376
256,24.0,31.0,0.0,4.0,0.0,1.0,2,0,0.00015211105346679688,0,0.035424
257,23.4,33.2,0.9,1.0,1.0,1.0,2,0,0.00015401840209960938,0,0.035549
